size_bytes,bandwidth_arg,run,seconds,bits_per_sec,bytes,packets,lost_packets,lost_percent,jitter_ms,pps,bytes_per_sec,cpu_percent_host_total,cpu_percent_remote_total
1280,100M,8,30.019653,99983022.51993588,375065600,293020,692,0.23616135417377654,0.2803630796421747,9760.938942232277,12494001.846057314,9.254735547678845,14.21065744011029
1280,100M,9,30.010722,99976613.35880645,374987520,292959,20083,6.85522547523715,0.4195443835621143,9761.8111287026,12495118.24473933,12.114267092165877,14.834653096535572
1280,80M,1,30.00688,79964014.16700514,299872000,234275,845,0.3606872265499947,0.3798350782135887,7807.376175063852,9993441.504081732,4.785016405413762,22.07824944842701
1280,80M,10,30.019321,79992515.04765074,299987200,234365,473,0.2018219444029612,0.052433126235223726,7807.138609164411,9993137.419730445,4.629106342028882,21.65268264246008
1280,80M,2,30.009957,79960222.6128393,299860480,234266,198,0.08451930711242775,0.708437983485651,7806.275763740681,9992032.977588072,6.185533942676638,14.158595867156182
1280,80M,3,30.025014,79966421.5265284,299994880,234371,367,0.15658933912472106,1.187374034411419,7805.858142147744,9991498.421949113,6.288285343623852,15.873402851244167
1280,80M,4,30.019924,79964922.4745436,299980800,234360,393,0.16769073220686123,0.982197862042466,7806.815233776075,9992723.499233376,5.199396004607024,21.812163032394327
1280,80M,5,30.010957,79960937.41017176,299905280,234301,400,0.17072056884093537,0.31509214712676514,7807.181890267611,9993192.819542542,5.87628981648297,15.56762105424783
1280,80M,6,30.018388,79957255.25762863,299965440,234348,453,0.19330226842132214,0.43762331480526845,7806.814942894335,9992723.126904748,4.987162796763634,14.6276404373408
1280,80M,7,30.020225,79962796.45244263,300003840,234378,408,0.17407777180452091,0.5301401471960676,7807.336553939886,9993390.789043054,5.717586567438917,20.402890634909976
1280,80M,8,30.013774,79972302.28276552,299964160,234347,551,0.235121422505942,0.4774193427852301,7807.981761973685,9994216.655326318,5.616867008803898,16.968853640821976
1280,80M,9,30.008989,79962489.79954787,299895040,234293,21163,9.03270690972415,0.4514646184919143,7807.42730119965,9993506.945535554,5.512903423186779,13.382632695084611
128,100M,1,30.040225,38656928.7502064,145035520,1133090,16366,1.4443689380366962,0.18967597231754194,37719.09165127758,4828043.73136353,36.64469282548812,24.966472524047457
128,100M,10,30.027293,37759447.27341573,141603072,1106275,33189,3.000067795078077,0.10338495825070963,36842.315422838816,4715812.1113348445,35.2047174121627,23.521857093744842
128,100M,2,30.036088,38260401.34211533,143496960,1121070,25864,2.307081627373848,0.380164579689742,37324.10159405579,4777485.004039141,37.39345826844788,23.042237176500606
128,100M,3,30.079165,38684996.82743116,145080832,1133444,33377,2.944741866382459,1.292867064980443,37682.030069651206,4823299.848915354,36.27420116349517,22.9593627922415
128,100M,4,30.038055,38717530.00443212,145241472,1134699,14185,1.2501112629869242,0.14192642515457785,37775.381928024304,4835248.886787111,36.815185307203635,24.602062471794184
128,100M,5,30.043882,38376105.02081733,143985280,1124885,22493,1.9995821795116835,0.014019898832645955,37441.39988301112,4792499.185025424,35.1086762674104,23.718601394691042
128,100M,6,30.031179,38646191.3671658,144927232,1132245,19917,1.75907157903104,0.29511285561914,37702.315982998865,4825892.183586931,37.50278707691107,23.309051517399272
128,100M,7,30.026762,38997127.927598454,146247424,1142559,15633,1.3682444407684855,0.011647768539393049,38051.355653999584,4870569.260848039,37.58332031152404,23.885286946321017
128,100M,8,30.051939,38683430.59051484,145081984,1133454,27063,2.387657549402093,0.8602211743714978,37716.50142108967,4827707.922606924,31.88003149392963,21.319703275783887
128,100M,9,30.033146,37620930.515858755,141094784,1102304,43501,3.9463705112201355,0.269342531193981,36702.91483949101,4697968.837497078,33.1675466204007,24.452930605819358
128,80M,1,30.039153,40603206.10517612,152311168,1189932,242530,20.38183694530444,0.17864448048156367,39612.70146332022,5070421.526199491,36.11378075603036,19.767503795041147
128,80M,10,30.046308,38481291.61424828,144380416,1127973,25171,2.231525045368994,0.012165516930162162,37541.15147857767,4805263.129167151,36.761153970096466,22.46862305548312
128,80M,2,30.037817,38696930.60971884,145187072,1134274,22762,2.00674616538861,0.012586951526442973,37761.53240430222,4833476.147750684,36.8186404892556,23.044243049049648
128,80M,3,30.067833,38808041.32258373,145542656,1137053,20324,1.7874276748753137,1.8148610676684442,37816.26032045608,4840477.063977308,37.17884575591096,24.368128151277553
128,80M,4,30.030558,38406894.19795222,144041216,1125322,16476,1.4641142712930166,0.36587875416606447,37472.56377986716,4796488.163822996,36.19197576568794,22.946503545253112
128,80M,5,30.04485,39682232.9188233,148879360,1163121,47813,4.1107503002697054,0.01222483815863457,38712.824327630195,4955237.253639143,38.08683759064787,22.985589040833272
128,80M,6,30.03644,38749543.42140798,145362688,1135647,21946,1.9324666907938823,0.011143781401575462,37808.97469873261,4839544.499947397,35.15435464333374,24.19058666567321
128,80M,7,30.036701,38554043.04535335,144646784,1130053,13158,1.164370166708995,0.0578163517974413,37622.40733428082,4815668.138787945,35.949313764991246,21.89985248728124
128,80M,8,30.03792,38544940.553775616,144569728,1129452,25266,2.2370140563742416,0.27834063618702154,37600.87249716358,4812907.41835653,34.59190145989144,23.929722519753174
