size_bytes,bandwidth_arg,run,seconds,bits_per_sec,bytes,packets,lost_packets,lost_percent,jitter_ms,pps,bytes_per_sec,cpu_percent_host_total,cpu_percent_remote_total
128,800M,6,30.021331,220222334.71971783,826259968,6455157,358931,5.560375990855063,0.002225322830917407,215019.0143135226,27522429.568495814,52.933186046005474,81.66171803184068
128,800M,7,30.012332,220733952.98450726,828025344,6468949,403912,6.24385815995767,0.0016283273351207239,215543.03077814812,27589503.674689457,52.34784305771618,83.24899867131465
256,1000M,1,30.006468,430122546.666508,1613186816,6301512,66507,1.0554133674584767,0.002619222737901439,210005.1228955037,53761302.92975501,50.45941674227866,84.87809251075556
256,1000M,2,30.002579,424866977.3441148,1593275648,6223733,77340,1.2426625628059558,0.0021061645928377414,207439.93374702887,53104623.03923939,49.521328780371974,83.27254988253718
256,1000M,3,30.007296,421518208.05084544,1580971008,6175668,98510,1.5951310854145657,0.00389512519141248,205805.54809070434,52686220.31122031,51.95208053787328,83.4159711642208
256,1000M,4,30.006666,415004298.3376501,1556397312,6079678,115202,1.89487009015938,0.0025072887934917644,202610.91318842288,51868385.24479861,50.45502408191166,80.4019524417419
256,1000M,5,30.009749,421586946.6808064,1581127168,6176279,86646,1.40288351611059,0.006097984851853392,205809.0855741579,52687117.37642324,51.6037084222679,83.6657710394939
256,1000M,6,30.00811,424583667.89649945,1592549120,6220895,80323,1.2911807706125886,0.0037935528431098575,207307.12464063882,53070623.90800354,53.17577744764927,83.0473944992173
256,1000M,7,30.006445,425694431.6346419,1596632576,6236846,75054,1.2033967168661852,0.0025732156323141093,207850.21351246376,53209654.65919072,52.07271028402067,83.31522338094443
256,800M,1,30.013205,409175657.72670585,1534766336,5995182,111366,1.8575916460918118,0.007463277129685408,199751.47605862154,51136369.34142821,49.342466331145445,81.2674212598786
256,800M,2,30.010873,416067653.349102,1560622336,6096182,100619,1.6505248695002872,0.0014066999266042534,203132.44469762675,52001897.31235076,49.758712879535516,82.26006008013283
256,800M,3,30.010125,422299592.0240837,1584066304,6187759,81451,1.3163246984893884,0.004435556153461936,206189.0445308042,52784395.39988588,49.29754164954993,84.7105687247394
